,precision,recall,f1-score,support
Dropout,0.672,0.7400881057268722,0.7044025157232704,227.0
Enrolled,0.4,0.36220472440944884,0.38016528925619836,127.0
Graduate,0.8104956268221575,0.7853107344632768,0.7977044476327116,354.0
accuracy,0.6949152542372882,0.6949152542372882,0.6949152542372882,0.6949152542372882
macro avg,0.6274985422740526,0.6292011881998659,0.6274240842040602,708.0
weighted avg,0.6924568529591013,0.6949152542372882,0.6928922842749993,708.0
