,precision,recall,f1-score,support
Dropout,0.7903930131004366,0.7973568281938326,0.793859649122807,227.0
Enrolled,0.5978260869565217,0.4330708661417323,0.502283105022831,127.0
Graduate,0.8217054263565892,0.8983050847457628,0.8582995951417004,354.0
accuracy,0.7824858757062146,0.7824858757062146,0.7824858757062146,0.7824858757062146
macro avg,0.7366415088045158,0.7095775930271092,0.7181474497624462,708.0
weighted avg,0.7715068473834885,0.7824858757062146,0.7737770499561281,708.0
