,precision,recall,f1-score,support
Dropout,0.782608695652174,0.7929515418502202,0.787746170678337,227.0
Enrolled,0.5507246376811594,0.2992125984251969,0.3877551020408163,127.0
Graduate,0.80440097799511,0.9293785310734464,0.8623853211009175,354.0
accuracy,0.7725988700564972,0.7725988700564972,0.7725988700564972,0.7725988700564972
macro avg,0.7125781037761478,0.6738475571162877,0.679295531273357,708.0
weighted avg,0.7519098151254516,0.7725988700564972,0.7533159355549307,708.0
