,precision,recall,f1-score,support
Dropout,0.7969543147208121,0.6916299559471366,0.7405660377358491,227.0
Enrolled,0.52,0.30708661417322836,0.38613861386138615,127.0
Graduate,0.7385321100917431,0.9096045197740112,0.8151898734177215,354.0
accuracy,0.731638418079096,0.731638418079096,0.731638418079096,0.731638418079096
macro avg,0.685162141604185,0.6361070299647921,0.6472981750049857,708.0
weighted avg,0.7180635542572054,0.731638418079096,0.7143012849100384,708.0
