,precision,recall,f1-score,support
Dropout,0.6111111111111112,0.2907488986784141,0.3940298507462687,227.0
Enrolled,0.19594594594594594,0.9133858267716536,0.3226703755215577,127.0
Graduate,0.125,0.002824858757062147,0.0055248618784530384,354.0
accuracy,0.2584745762711864,0.2584745762711864,0.2584745762711864,0.2584745762711864
macro avg,0.3106856856856857,0.4023198614023766,0.2407416960487598,708.0
weighted avg,0.2935838380753635,0.2584745762711864,0.18697699846838023,708.0
